Pokemon,Max CP,Max HP,Attack,Defense,Stamina,Total Stats,Is Legendary,Type 1,Type 2
Mr. Mime,"2,228",105,192,205,120,517,False,psychic,fairy
Stoutland,"2,827",166,206,182,198,586,False,normal,none
Samurott,"2,826",180,212,157,216,585,False,water,none
Staraptor,"2,825",166,234,140,198,572,False,normal,flying
Vanilluxe,"2,822",147,218,184,174,576,False,ice,none
Aurorus,"2,802",218,186,163,265,614,False,rock,ice
Gogoat,"2,798",218,196,146,265,607,False,grass,none
Cryogonal,"2,798",160,190,218,190,598,False,ice,none
Bouffalant,"2,797",180,195,182,216,593,False,normal,none
Sawk,"2,788",153,231,153,181,565,False,fighting,none
Omastar,"2,786",146,207,201,172,580,False,rock,water
Aerodactyl,"2,783",160,221,159,190,570,False,rock,flying
Pyroar,"2,767",168,221,149,200,570,False,fire,normal
Noivern,"2,764",166,205,175,198,578,False,flying,dragon
Clawitzer,"2,763",147,221,171,174,566,False,water,none
Sceptile,"2,757",146,223,169,172,564,False,grass,none
Blissey,"2,757",399,129,169,496,794,False,normal,none
Muk,"2,757",193,190,172,233,595,False,poison,poison
Beheeyem,"2,753",153,221,163,181,565,False,psychic,none
Diancie,"2,734",118,190,285,137,612,False,rock,fairy
Unfezant,"2,734",160,226,146,190,562,False,normal,flying
Druddigon,"2,732",155,213,170,184,567,False,dragon,none
Eelektross,"2,732",166,217,152,198,567,False,electric,none
Walrein,"2,726",200,182,176,242,600,False,ice,water
Musharna,"2,723",209,183,166,253,602,False,psychic,none
Venusaur,"2,720",160,198,189,190,577,False,grass,poison
Kabutops,"2,713",132,220,186,155,561,False,rock,water
Honchkrow,"2,711",187,243,103,225,571,False,dark,flying
Porygon2,"2,711",166,198,180,198,576,False,normal,none
Mienshao,"2,710",139,258,127,163,548,False,fighting,none
Scyther,"2,706",146,218,170,172,560,False,bug,flying
Lucario,"2,703",146,236,144,172,552,False,fighting,steel
Gliscor,"2,692",153,185,222,181,588,False,ground,flying
Infernape,"2,683",154,222,151,183,556,False,fire,fighting
Barbaracle,"2,675",149,194,205,176,575,False,rock,water
Flygon,"2,661",160,205,168,190,563,False,ground,dragon
Durant,"2,659",129,217,188,151,556,False,bug,steel
Greninja,"2,654",149,223,152,176,551,False,water,dark
Crobat,"2,646",166,194,178,198,570,False,poison,flying
Kingdra,"2,641",153,194,194,181,569,False,water,dragon
Lapras,"2,641",228,165,174,277,616,False,water,ice
Klinklang,"2,637",132,199,214,155,568,False,steel,none
Houndoom,"2,635",153,224,144,181,549,False,dark,fire
Breloom,"2,628",132,241,144,155,540,False,grass,fighting
Carracosta,"2,621",151,192,197,179,568,False,water,rock
Tauros,"2,620",153,198,183,181,562,False,normal,none
Mismagius,"2,615",132,211,187,155,553,False,ghost,none
Heliolisk,"2,600",135,219,168,158,545,False,electric,normal
Kangaskhan,"2,586",193,181,165,233,579,False,normal,none
Poliwrath,"2,586",173,182,184,207,573,False,water,fighting
Starmie,"2,584",132,210,184,155,549,False,water,psychic
Leavanny,"2,580",153,205,165,181,551,False,bug,grass
Hitmonlee,"2,576",118,224,181,137,542,False,fighting,none
Zoroark,"2,571",132,250,127,155,532,False,dark,none
Nidoking,"2,567",161,204,156,191,551,False,poison,ground
Seismitoad,"2,564",193,188,150,233,571,False,water,ground
Throh,"2,562",214,172,160,260,592,False,fighting,none
Trevenant,"2,559",166,201,154,198,553,False,ghost,grass
Vileplume,"2,559",153,202,167,181,550,False,grass,poison
Jynx,"2,555",139,223,151,163,537,False,ice,psychic
Granbull,"2,552",173,212,131,207,550,False,fairy,none
Sigilyph,"2,550",149,204,167,176,547,False,psychic,flying
Lilligant,"2,550",146,214,155,172,541,False,grass,none
Cloyster,"2,547",118,186,256,137,579,False,water,ice
Slowking,"2,545",180,177,180,216,573,False,water,psychic
Slowbro,"2,545",180,177,180,216,573,False,water,psychic
Crustle,"2,542",146,188,200,172,560,False,bug,rock
Relicanth,"2,528",187,162,203,225,590,False,water,rock
Absol,"2,526",139,246,120,163,529,False,dark,none
Uxie,"2,524",153,156,270,181,607,False,psychic,none
Gorebyss,"2,494",125,211,179,146,536,False,water,none
Toxicroak,"2,488",164,211,133,195,539,False,poison,fighting
Nidoqueen,"2,488",173,180,173,207,560,False,poison,ground
Magneton,"2,485",118,223,169,137,529,False,electric,steel
Crawdaunt,"2,474",136,224,142,160,526,False,water,dark
Lickilicky,"2,467",200,161,181,242,584,False,normal,none
Blastoise,"2,466",158,171,207,188,566,False,water,none
Rapidash,"2,461",139,207,162,163,532,False,fire,none
Drapion,"2,453",146,180,202,172,554,False,poison,dark
Golduck,"2,450",160,191,162,190,543,False,water,none
Politoed,"2,449",173,174,179,207,560,False,water,none
Scolipede,"2,447",132,203,175,155,533,False,bug,poison
Registeel,"2,447",160,143,285,190,618,True,steel,none
Floatzel,"2,443",166,221,114,198,533,False,water,none
Accelgor,"2,441",160,220,120,190,530,False,bug,none
Clefable,"2,437",180,178,162,216,556,False,fairy,none
Victreebel,"2,431",160,207,135,190,532,False,grass,poison
Zebstrika,"2,428",153,211,136,181,528,False,electric,none
Tentacruel,"2,422",160,166,209,190,565,False,water,poison
Gothitelle,"2,419",146,176,205,172,553,False,psychic,none
Ambipom,"2,418",153,205,143,181,529,False,normal,none
Zangoose,"2,418",150,222,124,177,523,False,normal,none
Sawsbuck,"2,416",160,198,146,190,534,False,normal,grass
Steelix,"2,414",153,148,272,181,601,False,steel,ground
Hawlucha,"2,410",157,195,153,186,534,False,fighting,flying
Meganium,"2,410",160,168,202,190,560,False,grass,none
Heatmor,"2,395",166,204,129,198,531,False,fire,none
Magmar,"2,394",139,206,154,163,523,False,fire,none
Gourgeist,"2,390",139,175,213,163,551,False,ghost,grass
Dusknoir,"2,388",111,180,254,128,562,False,ghost,none
Dragalge,"2,383",139,177,207,163,547,False,poison,dragon
Drifblim,"2,382",255,180,102,312,594,False,ghost,flying
Sandslash,"2,374",153,182,175,181,538,False,ground,ice
Grumpig,"2,369",160,171,188,190,549,False,psychic,none
Abomasnow,"2,362",173,178,158,207,543,False,grass,ice
Dodrio,"2,362",132,218,140,155,513,False,normal,flying
Malamar,"2,359",168,177,165,200,542,False,dark,psychic
Skuntank,"2,358",191,184,132,230,546,False,poison,dark
Miltank,"2,354",180,157,193,216,566,False,normal,none
Simipour,"2,350",153,206,133,181,520,False,water,none
Simisear,"2,350",153,206,133,181,520,False,fire,none
Simisage,"2,350",153,206,133,181,520,False,grass,none
Exploud,"2,347",193,179,137,232,548,False,normal,none
Garbodor,"2,345",160,181,164,190,535,False,poison,none
Piloswine,"2,345",187,181,138,225,544,False,ice,ground
Aromatisse,"2,341",188,173,150,226,549,False,fairy,none
Huntail,"2,340",125,197,179,146,522,False,water,none
Manectric,"2,340",146,215,127,172,514,False,electric,none
Jellicent,"2,338",187,159,178,225,562,False,water,ghost
Electabuzz,"2,334",139,198,158,163,519,False,electric,none
Shiftry,"2,333",173,200,121,207,528,False,grass,dark
Hitmonchan,"2,332",118,193,197,137,527,False,fighting,none
Solrock,"2,327",173,178,153,207,538,False,rock,psychic
Lunatone,"2,327",173,178,153,207,538,False,rock,psychic
Gastrodon,"2,324",202,169,143,244,556,False,water,ground
Ludicolo,"2,323",160,173,176,190,539,False,water,grass
Ferrothorn,"2,321",151,158,223,179,560,False,grass,steel
Octillery,"2,315",153,197,141,181,519,False,water,none
Banette,"2,298",138,218,126,162,506,False,ghost,none
Cacturne,"2,298",146,221,115,172,508,False,grass,dark
Weezing,"2,293",139,174,197,163,534,False,poison,none
Primeape,"2,288",139,207,138,163,508,False,fighting,none
Scrafty,"2,283",139,163,222,163,548,False,dark,fighting
Forretress,"2,282",153,161,205,181,547,False,bug,steel
Bellossom,"2,281",153,169,186,181,536,False,grass,none
Wailord,"2,280",283,175,87,347,609,False,water,none
Ninetales,"2,279",150,169,190,177,536,False,fire,ice
Serperior,"2,277",153,161,204,181,546,False,grass,none
Maractus,"2,274",153,201,130,181,512,False,grass,none
Cofagrigus,"2,273",129,163,237,151,551,False,ghost,none
Masquerain,"2,270",146,192,150,172,514,False,bug,flying
Chimecho,"2,259",153,175,170,181,526,False,psychic,none
Cinccino,"2,242",153,198,130,181,509,False,normal,none
Bronzong,"2,239",142,161,213,167,541,False,steel,psychic
Tangela,"2,238",139,183,169,163,515,False,grass,none
Fraxure,"2,234",140,212,123,165,500,False,dragon,none
Cradily,"2,211",168,152,194,200,546,False,rock,grass
Galvantula,"2,206",146,201,128,172,501,False,bug,electric
Talonflame,"2,205",157,176,155,186,517,False,fire,flying
Slurpuff,"2,199",162,168,163,193,524,False,fairy,none
Camerupt,"2,193",146,194,136,172,502,False,fire,ground
Xatu,"2,188",139,192,146,163,501,False,psychic,flying
Raichu,"2,182",132,193,151,155,499,False,electric,electric
Sharpedo,"2,181",146,243,83,172,498,False,water,dark
Alomomola,"2,169",275,138,131,338,607,False,water,none
Gurdurr,"2,169",166,180,134,198,512,False,fighting,none
Stantler,"2,164",150,192,131,177,500,False,normal,none
Stunfisk,"2,162",199,144,171,240,555,False,ground,electric
Seaking,"2,162",160,175,147,190,512,False,water,none
Carnivine,"2,159",151,187,136,179,502,False,grass,none
Hitmontop,"2,156",118,173,207,137,517,False,fighting,none
Sudowoodo,"2,148",146,167,176,172,515,False,rock,none
Sunflora,"2,141",153,185,135,181,501,False,grass,none
Amoonguss,"2,140",206,155,139,249,543,False,grass,poison
Mandibuzz,"2,138",200,129,205,242,576,False,dark,flying
Umbreon,"2,137",180,126,240,216,582,False,dark,none
Pidgeot,"2,129",164,166,154,195,515,False,normal,flying
Pelipper,"2,127",132,175,174,155,504,False,water,flying
Meowstic,"2,124",151,166,167,179,512,False,psychic,none
Furfrou,"2,111",153,164,167,181,512,False,normal,none
Skarmory,"2,108",139,148,226,163,537,False,steel,flying
Mantine,"2,108",139,148,226,163,537,False,water,flying
Phione,"2,105",160,162,162,190,514,False,water,none
Glalie,"2,105",160,162,162,190,514,False,ice,none
Seviper,"2,105",150,196,118,177,491,False,poison,none
Electrode,"2,099",132,173,173,155,501,False,electric,none
Torkoal,"2,093",146,151,203,172,526,False,fire,none
Seadra,"2,093",125,187,156,146,489,False,water,none
Basculin,"2,090",146,189,129,172,490,False,water,none
Hypno,"2,090",166,144,193,198,535,False,psychic,none
Swanna,"2,088",153,182,132,181,495,False,water,flying
Lanturn,"2,085",221,146,137,268,551,False,water,electric
Venomoth,"2,082",146,179,143,172,494,False,bug,poison
Probopass,"2,080",132,135,275,155,565,False,rock,steel
Whiscash,"2,075",200,151,141,242,534,False,water,ground
Spiritomb,"2,072",118,169,199,137,505,False,ghost,dark
Lopunny,"2,059",139,156,194,163,513,False,normal,none
Kadabra,"2,059",105,232,117,120,469,False,psychic,none
Lairon,"2,056",132,158,198,155,511,False,steel,rock
Sneasel,"2,051",125,189,146,146,481,False,dark,ice
Qwilfish,"2,051",139,184,138,163,485,False,water,poison
Cherrim,"2,048",146,170,153,172,495,False,grass,none
Kecleon,"2,047",132,161,189,155,505,False,normal,none
Girafarig,"2,046",146,182,133,172,487,False,normal,psychic
Froslass,"2,040",146,171,150,172,493,False,ice,ghost
Sliggoo,"2,037",143,159,176,169,504,False,dragon,none
Rotom,"2,031",118,185,159,137,481,False,electric,ghost
Shelgon,"2,031",139,172,155,163,490,False,dragon,none
Machoke,"2,031",160,177,125,190,492,False,fighting,none
Boldore,"2,029",146,174,143,172,489,False,rock,none
Noctowl,"2,024",187,145,156,225,526,False,normal,flying
Duosion,"2,018",139,208,103,163,474,False,psychic,none
Whimsicott,"2,014",132,164,176,155,495,False,grass,fairy
Vespiquen,"2,005",146,149,190,172,511,False,bug,flying
Altaria,"2,004",153,141,201,181,523,False,dragon,flying
Fearow,"1,997",139,182,133,163,478,False,normal,flying
Quagsire,"1,992",180,152,143,216,511,False,water,ground
Dewgong,"1,985",173,139,177,207,523,False,water,ice
Swalot,"1,978",187,140,159,225,524,False,poison,none
Golbat,"1,976",153,161,150,181,492,False,poison,flying
Claydol,"1,971",132,140,229,155,524,False,ground,psychic
Ninjask,"1,969",133,199,112,156,467,False,bug,flying
Vigoroth,"1,968",160,159,145,190,494,False,normal,none
Haunter,"1,963",111,223,107,128,458,False,ghost,poison
Purugly,"1,953",147,172,133,174,479,False,normal,none
Klefki,"1,949",128,160,179,149,488,False,steel,fairy
Tropius,"1,941",186,136,163,223,522,False,grass,flying
Mightyena,"1,926",146,171,132,172,475,False,dark,none
Misdreavus,"1,926",132,167,154,155,476,False,ghost,none
Wigglytuff,"1,926",242,156,90,295,541,False,normal,fairy
Pignite,"1,924",173,173,106,207,486,False,fire,fighting
Arbok,"1,921",132,167,153,155,475,False,poison,none
Swellow,"1,920",132,185,124,155,464,False,normal,flying
Graveler,"1,897",125,164,164,146,474,False,rock,ground
Munchlax,"1,892",235,137,117,286,540,False,normal,none
Grotle,"1,890",153,157,143,181,481,False,grass,none
Gabite,"1,874",143,172,125,169,466,False,dragon,ground
Roselia,"1,870",118,186,131,137,454,False,grass,poison
Parasect,"1,859",132,165,146,155,466,False,bug,grass
Gligar,"1,857",139,143,184,163,490,False,ground,flying
Vivillon,"1,855",160,176,103,190,469,False,bug,flying
Klang,"1,847",132,150,174,155,479,False,steel,none
Liepard,"1,846",138,187,106,162,455,False,dark,none
Beedrill,"1,846",139,169,130,163,462,False,bug,poison
Archen,"1,842",125,213,89,146,448,False,rock,flying
Dedenne,"1,841",142,164,134,167,465,False,electric,fairy
Zweilous,"1,839",149,159,135,176,470,False,dark,dragon
Marowak,"1,835",132,144,186,155,485,False,ground,fire
Butterfree,"1,827",132,167,137,155,459,False,bug,flying
Bibarel,"1,823",158,162,119,188,469,False,normal,water
Cranidos,"1,820",142,218,71,167,456,False,rock,none
Watchog,"1,819",132,165,139,155,459,False,normal,none
Mothim,"1,815",146,185,98,172,455,False,bug,flying
Lumineon,"1,814",144,142,170,170,482,False,water,none
Braixen,"1,813",131,171,130,153,454,False,fire,none
Chatot,"1,791",154,183,91,183,457,False,normal,flying
Dragonair,"1,780",133,163,135,156,454,False,dragon,none
Plusle,"1,778",132,167,129,155,451,False,electric,none
Marshtomp,"1,776",146,156,133,172,461,False,water,ground
Wormadam,"1,773",132,141,180,155,476,False,bug,grass
Ariados,"1,772",146,161,124,172,457,False,bug,poison
Illumise,"1,771",139,143,166,163,472,False,bug,none
Volbeat,"1,771",139,143,166,163,472,False,bug,none
Pupitar,"1,766",146,155,133,172,460,False,rock,ground
Beautifly,"1,765",132,189,98,155,442,False,bug,flying
Furret,"1,758",166,148,125,198,471,False,normal,none
Dewott,"1,741",153,159,116,181,456,False,water,none
Raticate,"1,730",125,161,139,146,446,False,normal,dark
Croconaw,"1,722",139,150,142,163,455,False,water,none
Metang,"1,721",132,138,176,155,469,False,steel,psychic
Porygon,"1,720",139,153,136,163,452,False,normal,none
Quilladin,"1,719",133,146,156,156,458,False,grass,none
Swoobat,"1,716",142,161,119,167,447,False,psychic,flying
Eelektrik,"1,715",139,156,130,163,449,False,electric,none
Sealeo,"1,714",173,137,132,207,476,False,ice,water
Lampent,"1,708",132,169,115,155,439,False,ghost,fire
Togetic,"1,708",125,139,181,146,466,False,fairy,flying
Magcargo,"1,702",118,139,191,137,467,False,fire,rock
Prinplup,"1,701",138,150,139,162,451,False,water,none
Ivysaur,"1,699",132,151,143,155,449,False,grass,poison
Ponyta,"1,697",118,170,127,137,434,False,fire,none
Minun,"1,694",132,147,150,155,452,False,electric,none
Dunsparce,"1,689",187,131,128,225,484,False,normal,none
Persian,"1,689",139,150,136,163,449,False,normal,dark
Audino,"1,682",191,114,163,230,507,False,normal,none
Gloom,"1,681",132,153,136,155,444,False,grass,poison
Grovyle,"1,673",118,172,120,137,429,False,grass,none
Linoone,"1,662",157,142,128,186,456,False,normal,none
Kricketune,"1,653",155,160,100,184,444,False,bug,none
Quilava,"1,653",129,158,126,151,435,False,fire,none
Charmeleon,"1,653",129,158,126,151,435,False,fire,none
Combusken,"1,652",132,163,115,155,433,False,fire,fighting
Rhyhorn,"1,651",160,140,127,190,457,False,ground,rock
Frogadier,"1,636",124,168,114,144,426,False,water,none
Jumpluff,"1,636",153,118,183,181,482,False,grass,flying
Tyrunt,"1,635",129,158,123,151,432,False,rock,dragon
Mawile,"1,634",118,155,141,137,433,False,steel,fairy
Emolga,"1,633",125,158,127,146,431,False,electric,flying
Castform,"1,632",146,139,139,172,450,False,normal,none
Weepinbell,"1,611",139,172,92,163,427,False,grass,poison
Gothorita,"1,604",132,137,153,155,445,False,psychic,none
Vanillish,"1,591",120,151,138,139,428,False,ice,none
Dusclops,"1,591",105,124,234,120,478,False,ghost,none
Azumarill,"1,588",187,112,152,225,489,False,water,fairy
Herdier,"1,583",139,145,126,163,434,False,normal,none
Monferno,"1,574",138,158,105,162,425,False,fire,fighting
Murkrow,"1,562",132,175,87,155,417,False,dark,flying
Krabby,"1,561",91,181,124,102,407,False,water,none
Dugtrio,"1,557",98,167,134,111,412,False,ground,ground
Omanyte,"1,544",98,155,153,111,419,False,rock,water
Bastiodon,"1,539",132,94,286,155,535,False,rock,steel
Floette,"1,532",124,136,151,144,431,False,fairy,none
Anorith,"1,529",111,176,100,128,404,False,rock,bug
Flaaffy,"1,521",146,145,109,172,426,False,electric,none
Diggersby,"1,509",166,112,155,198,465,False,normal,ground
Larvesta,"1,496",125,156,107,146,409,False,bug,fire
Delcatty,"1,496",146,132,127,172,431,False,normal,none
Rufflet,"1,491",146,150,97,172,419,False,normal,flying
Pancham,"1,489",142,145,107,167,419,False,fighting,none
Tirtouga,"1,488",124,134,146,144,424,False,water,rock
Wartortle,"1,488",131,126,155,153,434,False,water,none
Luxio,"1,486",132,159,95,155,409,False,electric,none
Sableye,"1,476",118,141,136,137,414,False,dark,ghost
Yanma,"1,470",139,154,94,163,411,False,bug,flying
Fletchinder,"1,469",135,145,110,158,413,False,fire,flying
Wailmer,"1,468",228,136,68,277,481,False,water,none
Carbink,"1,467",118,95,285,137,517,False,rock,fairy
Bayleef,"1,454",132,122,155,155,432,False,grass,none
Darumaka,"1,442",146,153,86,172,411,False,fire,none
Tranquill,"1,442",135,144,107,158,409,False,normal,flying
Servine,"1,441",132,122,152,155,429,False,grass,none
Pawniard,"1,433",111,154,114,128,396,False,dark,steel
Medicham,"1,431",132,121,152,155,428,False,fighting,psychic
Litleo,"1,425",135,139,112,158,409,False,fire,normal
Poliwhirl,"1,419",139,130,123,163,416,False,water,none
Krokorok,"1,418",132,155,90,155,400,False,ground,dark
Lickitung,"1,411",173,108,137,207,452,False,normal,none
Nidorino,"1,393",133,137,111,156,404,False,poison,none
Palpitoad,"1,392",153,128,109,181,418,False,water,ground
Mienfoo,"1,389",111,160,98,128,386,False,fighting,none
Elgyem,"1,385",125,148,100,146,394,False,psychic,none
Corsola,"1,378",125,118,156,146,420,False,water,rock
Drilbur,"1,376",132,154,85,155,394,False,ground,none
Grimer,"1,374",160,135,90,190,415,False,poison,poison
Scraggy,"1,372",118,132,132,137,401,False,dark,fighting
Swadloon,"1,370",125,115,162,146,423,False,bug,grass
Kabuto,"1,370",91,148,140,102,390,False,rock,water
Axew,"1,368",113,154,101,130,385,False,dragon,none
Solosis,"1,367",111,170,83,128,381,False,psychic,none
Amaura,"1,363",155,124,109,184,417,False,rock,ice
Magnemite,"1,362",84,165,121,93,379,False,electric,steel
Hippopotas,"1,358",143,124,118,169,411,False,ground,none
Aipom,"1,348",125,136,112,146,394,False,normal,none
Ledian,"1,346",125,107,179,146,432,False,bug,flying
Abra,"1,342",84,195,82,93,370,False,psychic,none
Spoink,"1,334",132,125,122,155,402,False,psychic,none
Teddiursa,"1,328",132,142,93,155,390,False,normal,none
Loudred,"1,327",165,134,81,197,412,False,normal,none
Magby,"1,323",111,151,99,128,378,False,fire,none
Timburr,"1,315",153,134,87,181,402,False,fighting,none
Nidorina,"1,309",146,117,120,172,409,False,poison,none
Aron,"1,307",118,121,141,137,399,False,steel,rock
Bonsly,"1,302",118,124,133,137,394,False,rock,none
Staravia,"1,299",125,142,94,146,382,False,normal,flying
Geodude,"1,293",105,132,132,120,384,False,rock,ground
Lileep,"1,291",140,105,150,165,420,False,rock,grass
Smoochum,"1,291",111,153,91,128,372,False,ice,psychic
